Row ID,Order Date,Customer ID,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,month,year
1,8/11/2016,CG-12520,Consumer,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,31435.2,2,0,5029.632,Nov,2016
2,8/11/2016,CG-12520,Consumer,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",87832.8,3,0,26349.84,Nov,2016
3,12/6/2016,DV-13045,Corporate,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,1754.4,2,0,824.568,Jun,2016
4,11/10/2015,SO-20335,Consumer,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,114909.3,5,0.45,-45963.72,Oct,2015
5,11/10/2015,SO-20335,Consumer,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2684.16,2,0.2,301.968,Oct,2015
6,9/6/2014,BH-11710,Consumer,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",5863.2,7,0,1700.328,Jun,2014
7,9/6/2014,BH-11710,Consumer,OFF-AR-10002833,Office Supplies,Art,Newell 322,873.6,4,0,235.872,Jun,2014
8,9/6/2014,BH-11710,Consumer,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,108858.24,6,0.2,10885.824,Jun,2014
9,9/6/2014,BH-11710,Consumer,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2220.48,3,0.2,693.9,Jun,2014
10,9/6/2014,BH-11710,Consumer,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,13788,5,0,4136.4,Jun,2014
11,9/6/2014,BH-11710,Consumer,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,204742.08,9,0.2,10237.104,Jun,2014
12,9/6/2014,BH-11710,Consumer,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,109370.88,4,0.2,8202.816,Jun,2014
13,15/4/2017,AA-10480,Consumer,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,1866.24,3,0.2,653.184,Apr,2017
14,5/12/2016,IM-15070,Consumer,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,48957.12,3,0.2,15911.064,Dec,2016
15,22/11/2015,HP-14815,Home Office,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",8257.2,5,0.8,-14862.96,Nov,2015
16,22/11/2015,HP-14815,Home Office,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,305.28,3,0.8,-457.92,Nov,2015
17,11/11/2014,PK-19075,Consumer,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",79905.6,6,0,1598.112,Nov,2014
18,13/5/2014,AG-10270,Consumer,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,6660,2,0,1198.8,May,2014
19,27/8/2014,ZD-21925,Consumer,OFF-AR-10003056,Office Supplies,Art,Newell 341,1027.2,2,0,297.888,Aug,2014
20,27/8/2014,ZD-21925,Consumer,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,25617.6,3,0.2,1921.32,Aug,2014
21,27/8/2014,ZD-21925,Consumer,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",2726.4,4,0.2,886.08,Aug,2014
22,9/12/2016,KB-16585,Corporate,OFF-AR-10000246,Office Supplies,Art,Newell 318,2335.2,7,0,607.152,Dec,2016
23,9/12/2016,KB-16585,Corporate,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",7240.8,7,0,1882.608,Dec,2016
24,16/7/2017,SF-20065,Consumer,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",8564.64,2,0.3,-122.352,Jul,2017
25,25/9/2015,EB-13870,Consumer,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,125355.6,3,0,28831.788,Sept,2015
26,16/1/2016,EH-13945,Consumer,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,1397.76,2,0.2,506.688,Jan,2016
27,16/1/2016,EH-13945,Consumer,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,10868.4,3,0,1412.892,Jan,2016
28,17/9/2015,TB-21520,Consumer,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",370011.6,7,0.5,-199806.264,Sept,2015
29,17/9/2015,TB-21520,Consumer,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,1154.16,2,0.7,-846.384,Sept,2015
30,17/9/2015,TB-21520,Consumer,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",14904,3,0.2,1863,Sept,2015
31,17/9/2015,TB-21520,Consumer,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,391.68,2,0.2,132.192,Sept,2015
32,17/9/2015,TB-21520,Consumer,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",10356.48,6,0.2,1165.104,Sept,2015
33,17/9/2015,TB-21520,Consumer,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",822.96,6,0.7,-685.8,Sept,2015
34,17/9/2015,TB-21520,Consumer,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,1891.2,2,0.2,425.52,Sept,2015
35,19/10/2017,MA-17560,Home Office,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,3536.64,3,0.2,1193.616,Oct,2017
36,8/12/2016,GH-14485,Corporate,TEC-PH-10004977,Technology,Phones,GE 30524EE4,131705.28,7,0.2,14816.844,Dec,2016
37,8/12/2016,GH-14485,Corporate,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",22910.4,5,0.6,-17755.56,Dec,2016
38,27/12/2015,SN-20710,Home Office,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",13599.36,9,0.2,4249.8,Dec,2015
39,27/12/2015,SN-20710,Home Office,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",63887.904,3,0.32,-5637.168,Dec,2015
40,27/12/2015,SN-20710,Home Office,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",25446.96,3,0.3,-1817.64,Dec,2015
41,27/12/2015,SN-20710,Home Office,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,44540.16,4,0.2,5010.768,Dec,2015
42,10/9/2017,LC-16930,Corporate,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,17660.16,4,0.2,1986.768,Sept,2017
43,17/7/2016,RA-19885,Corporate,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",9345.6,2,0,467.28,Jul,2016
44,19/9/2017,ES-14080,Corporate,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",11473.92,2,0.2,1147.392,Sept,2017
45,11/3/2016,ON-18715,Corporate,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",5517.6,2,0,2372.568,Mar,2016
46,11/3/2016,ON-18715,Corporate,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,2095.2,2,0,984.744,Mar,2016
47,20/10/2014,PO-18865,Consumer,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",25435.2,4,0,1017.408,Oct,2014
48,20/6/2016,LH-16900,Consumer,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,5400,3,0,594,Jun,2016
49,20/6/2016,LH-16900,Consumer,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2616,2,0,732.48,Jun,2016
50,18/4/2015,DP-13000,Consumer,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4586.4,6,0,2155.608,Apr,2015
51,18/4/2015,DP-13000,Consumer,OFF-LA-10002762,Office Supplies,Labels,Avery 485,9021.6,6,0,4240.152,Apr,2015
52,18/4/2015,DP-13000,Consumer,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,739.2,2,0,354.816,Apr,2015
53,18/4/2015,DP-13000,Consumer,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",10798.8,1,0,2051.772,Apr,2015
54,11/12/2016,JM-15265,Corporate,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,1831.2,7,0,750.792,Dec,2016
55,11/12/2016,JM-15265,Corporate,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,123594,5,0,35842.26,Dec,2016
